S.No,Office Name,Address,Contract Number,Email ID
20,Dehradun Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 37/2, Lane No 4, Camp Area, Turner Road, , Uttarakhand 248002.",0135-2644545,indanecareddn@indianoil.in
21,Kolkata Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 3rd Floor, IBP House, 34A, Nirmal chandra Street, , West Bengal 700013.",033-22364599,indanecarekol@indianoil.in
22,Durgapur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Red Cross Road, City Centre, , West Bengal 731216.",0343-2546420,indanecaredgp@indianoil.in
23,Siliguri Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Indian oil Bhawan, Paribahan Nagar Matigara, , West Bengal 734010.",0353-2571394,indanecaresgu@indianoil.in
24,Bhubaneswar Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), II Floor, Indian Oil Bhawan, A -2 , Chandrasekharpur, , Odisha 751024.",0674-2740088,indanecarebbs@indianoil.in
25,Patna Indane DO-LPG,"Indian Oil Corporation Limited, Loknayak JaiPrakash Bhawan, 5th Floor, Dak Bungalow Chowk, Bihar 800001.",8863923888,indanecarepat@indianoil.in
26,Begusarai Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), P.O. Barauni Oil Refinery, , Bihar 851114.",06243-244620,mkt.dlh.bgsdo@indianoil.in
27,Ranchi Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 2nd Floor, Pulsar Plaza, Line Tank Road, , Jharkhand 834001.",0651-2212790,indanecarernc@indianoil.in
28,Ahmedabad Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Indian Oil Bhawan, 205, Near Sola Flyover, Sola, , Gujarat 380060.",079-26474325,indanecareahm@indianoil.in
29,Surat Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Ghod Dod Rd, near BSNL, IOC Colony, Subhash Nagar, Athwa, , Gujarat 395001.",0261-2244582,indanecaresur@indianoil.in
30,Rajkot Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Indian Oil Bhawan, Race Course Ring road, , Gujarat 360001.",0281-2444338,indanecareraj@indianoil.in
31,Nagpur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), First Floor, Akarshan Busiplex 26 Central Bazaar Road, Ramdaspeth, , Maharashtra 440010.",0712-2437106,indanecarengp@indianoil.in
32,Pune Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 2nd Floor,BSNL Telephone Exchange Building, Opp. Pune Golf Course, Airport road Yerwada, , Maharashtra 411006.",020-26681425,indanecarepun@indianoil.in
33,Aurangabad Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Abish Tower First Floor, Mahavir Chowk, , Maharashtra 431001.",0240-2357127,indanecareaur@indianoil.in
34,Bhopal Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 5th floor, Block-3, Paryavas Bhavan, Mother Terasa Road, , Madhya Pradesh 462011.",0755 2553590,indanecarebao@indianoil.in
35,Raipur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), VIP Road, Telibandha, PO Ravigram, , Chhatisgarh 492006.",0771-4313009,indanecarerpr@indianoil.in
36,Jabalpur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Block-9, 2nd Floor, Civic Centre, Marhatal, , Madhya Pradesh 482002.",7612480144,indanecarejbp@indianoil.in
37,Gwalior Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Plot No 217-218, Patel Nagar, City Centre, , Madhya Pradesh 474011.",0751-4079936,indanecaregwl@indianoil.in
38,Coimbatore Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 8/1079, Avinashi Road, Near Kuppusamy Naidu Hospital, , Tamil Nadu 641018.",0422-2247396,indanecarecbe@indianoil.in
39,Chennai Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Door No. 500, Annasalai, Teynampet, , Tamil Nadu 600018.",044-24339236,indanecareche@indianoil.in
40,Madurai Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 2, Race Course Road, Chakkikulam, , Tamil Nadu 625002.",0452-2533956,indanecaremdu@indianoil.in
41,Trichy Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), B-35, Triveni, IInd floor, Sastri Road, , Tamil Nadu 620018.",0431-2740066,indanecaretry@indianoil.in
42,Cochin Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Panmpilly Avenue, Panampilli Nagar, , Kerala 682036.",0484-2311558,indanecarekoc@indianoil.in
43,Kozhikode Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), IInd Floor , PMK Towers, Civil Station Post , Wayanad, , Kerala 673028.",0495-2370214,indanecarekoz@indianoil.in
44,Bangalore Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), IV Floor, Unity Building, J.C.W. Road, , Karnataka 560002.",080-22239473,indanecarebgl@indianoil.in
45,Belgaum Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Belgaum 1st Floor, Khanapur Road, Tilakwadi, , Karnataka 590006.",0831-2427138,indanecarebgm@indianoil.in
46,Secunderabad Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Indian Oil Bhavan, Fatehbagh, Mosapet, Kukutpally Industrial Estate, Sanath Nagar (Post), , Andhra Pradesh 500018.",040-27686415,indanecaresec@indianoil.in
47,Vizag Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 8th Floor, LIC Building, Jeevan Prakash, Jeevitha Bhima Marg, , Andhra Pradesh 530004.",0891-2854842,indanecareviz@indianoil.in 
48,Vijayawada Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Vijayawada 2nd Floor, GVR Towers, Bharati Nagar, , Andhra Pradesh 520008.",0866-2546704,indanecarevya@indianoil.in
49,Guwahati Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), East Point Tower, 3rd Floor, Bamunimaidam, , Assam 781021.",0361-2650518,indanecareghy@indianoil.in
50,Tinsukia Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Sripuria Road, , Assam 786125.",0374-2335354,indanecaretsk@indianoil.in
51,Silchar Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Jagannath Apptt, 1st floor, Hosp. Road, , Assam 788005.",03842-220930,indanecarescl@indianoil.in
